Date,Close,High,Low,Open,Volume,MACD,MACD_Signal,MACD_Diff,EMA_12,EMA_26,ADX,ADX_pos,ADX_neg,BBL,BBM,BBH,BB_bandwidth,BB_percent,ATR,RSI,Stoch_K,Stoch_D,ROC,OBV,Prev_Close,SMA_10,Daily_Change_Pct,Target
2020-02-20,77.62828826904297,78.68256095291854,77.12175425598554,78.19299399872004,100566000,0.8436117293671401,0.9505260946217889,-0.10691436525464881,77.8170743657167,76.97346263634957,13.975325527271664,26.767532601449005,27.15769916223527,74.79979134321685,77.42135124206543,80.042911140914,6.772188438437377,0.5394683003559124,1.6288082490130509,53.04137811327521,73.09023482483893,75.70872172594325,4.0173925008768725,389325200,78.43293762207031,78.17530059814453,-2.263522129712395,0
2020-02-21,75.87115478515625,77.6646332059399,75.25313681331546,77.22110816106802,129554000,0.6258919196257153,0.8855992596225744,-0.259707339996859,77.51770212255356,76.89181020292784,14.026678554327543,24.02890334691311,32.30706085406324,74.64917891038898,77.35561904907226,80.06205918775554,6.997397660191656,0.22575335351067036,1.684714544985292,46.139479413967024,44.89682954767774,67.99599632642894,-1.5860499490739695,259771200,77.62828826904297,77.89925003051758,-4.750012670213254,0
2020-02-24,72.26726531982422,73.7214326099496,70.09813688315359,72.04429714392029,222195200,0.16069129174339025,0.7406176660467375,-0.5799263743033473,76.70994261444135,76.54925132269796,15.870806455957165,19.013663774338738,44.201350753016996,73.62056110598472,77.12081527709961,80.6210694482145,9.07732668161837,-0.1933139309322577,1.9767362133436757,35.8389333622668,23.55883328742254,47.1819658866464,-7.018938964109261,37576000,75.87115478515625,77.3696907043457,-3.387222523981983,0
2020-02-25,69.81941223144531,73.3215345796045,69.34681232251152,72.93860713253768,230673600,-0.4008837062885817,0.5123173915796737,-0.9132010978682554,75.64986101705733,76.05074472334591,17.773252465395522,16.46553107089282,40.81091230130779,72.23955423777394,76.87677421569825,81.51399419362255,12.064033709097494,-0.26094750926738736,2.1194495021829116,30.807989352777824,4.745642492672569,24.400435109257614,-11.206997509995965,-193097600,72.26726531982422,76.55850601196289,1.5863526444674405,1
2020-02-26,70.92699432373047,72.1945458948115,69.43647462004233,69.44374515923005,198054800,-0.7479415155468558,0.2602656101543678,-1.0082071257012237,74.92326614116088,75.67120765670774,19.53980947415971,14.966659281697424,37.09585902568691,71.26865104089339,76.5824520111084,81.89625298132341,13.877333072187966,-0.03214805363222845,2.1650653430819298,35.23785822185798,15.867499568629038,14.72399178290805,-8.555466339389902,4957200,69.81941223144531,75.9051010131836,-6.536816965188027,0
2020-02-27,66.2906265258789,69.31529668003056,66.15490485834736,68.12772839099156,320605600,-1.381182056355044,-0.0680239231475146,-1.3131581332075295,73.5951677388098,74.97634979516485,21.9318598189899,12.796174812250833,41.68868817234234,69.10038178551295,75.97591705322266,82.85145232093237,18.099249168373333,-0.20432992852424095,2.351281351817728,27.34549100004513,1.0320635196336696,7.215068526978425,-14.937051903910929,-315648400,70.92699432373047,74.60410614013672,-0.05846576846519877,0
2020-02-28,66.25186920166016,67.47579797874893,62.13415384073174,62.34985890817242,426510000,-1.8646624710985122,-0.42735163273771415,-1.4373108383607982,72.46542950232525,74.33009197342376,24.80572066050511,10.892060886853242,46.685966482304345,67.39543525694944,75.37312660217285,83.35081794739625,21.168529699797343,-0.0716727437677811,2.564878693689118,27.2904648279775,23.9802666072215,13.626609898494735,-14.470725523378666,-742158400,66.2906265258789,73.35570373535157,9.310017026025001,1
2020-03-02,72.41992950439453,73.05734046709884,67.30853410090411,68.41370027483313,341397200,-1.7301689545557792,-0.6879150971013273,-1.042253857454452,72.4584295026436,74.18859845719938,24.864628659911602,22.95095988492679,38.770415412557725,67.17325131448729,75.25234146118164,83.331431607876,21.471996724146834,0.32470724392486056,2.867778163099801,45.935885260674816,59.901091031481904,28.304473719445692,-8.676665622803739,-400761200,66.25186920166016,72.72217025756837,-3.1759044902538656,0
2020-03-03,70.11994171142578,73.6778022281249,69.26682558358837,73.59782628927844,319475600,-1.78855432588243,-0.9080429428575478,-0.8805113830248821,72.09866215014854,73.88721647603097,24.683656259750105,22.010760887196533,34.66761827157388,66.64476012045024,75.02683334350586,83.40890656656147,22.344200999871056,0.20729845102144612,2.9780066260595675,41.647163748324274,46.50669252786361,43.46268338885567,-10.942851071470342,-720236800,72.41992950439453,72.00284194946289,4.638462473346875,1
2020-03-04,73.37242889404297,73.53238817702517,71.04334126232827,71.84555625982283,219178400,-1.5544577979565446,-1.0373259138773472,-0.5171318840791974,72.29462626459383,73.84908406255038,24.515610459600143,20.227414387997847,31.858793261070485,66.48531151904324,74.84075965881348,83.19620779858373,22.328603231344356,0.41213333263469404,3.0090380431695545,48.91117365573915,66.38503444892541,57.597606002756976,-6.834889625782627,-501058400,70.11994171142578,71.49679107666016,-3.2436799104425864,0
