Date,Close_AAPL,High_AAPL,Low_AAPL,Open_AAPL,Volume_AAPL,Target,Prev_Close,SMA_10,Daily_Return
2020-01-15,75.27809143066406,76.28392794287467,74.84528990021097,75.4014053711113,121923600,1,75.60208892822266,73.98936004638672,-0.4285562768856832
2020-01-16,76.22106170654297,76.33228922922538,75.45943283140988,75.82211395087957,108829200,1,75.27809143066406,74.34938049316406,1.2526490217242614
2020-01-17,77.06488800048828,77.06730085653118,76.16301849026416,76.4700857814728,137816400,0,76.22106170654297,74.86438751220703,1.1070775912229047
2020-01-21,76.5426254272461,77.1350000250309,76.40480486276103,76.69253240808335,110843200,1,77.06488800048828,75.26986618041992,-0.6776919902081402
2020-01-22,76.81585693359375,77.3695447452734,76.72155630946642,77.02862363912672,101832400,1,76.5426254272461,75.73675689697265,0.3569664677982143
2020-01-23,77.18579864501953,77.26558524479366,76.32019557283769,76.86905772372998,104472000,0,76.81585693359375,76.1245849609375,0.4815955014933815
2020-01-24,76.96334075927734,78.17711075717362,76.77232666197627,77.43240886934917,146537600,0,77.18579864501953,76.33445587158204,-0.28821090103022806
2020-01-27,74.70023345947266,75.38206844080676,73.71615679564923,74.96861397936968,161940000,1,76.96334075927734,76.30109176635742,-2.9405003440315047
2020-01-28,76.81343841552734,76.98510540061056,75.48360773770071,75.58274145549967,162234000,1,74.70023345947266,76.31874237060546,2.8289134560752993
2020-01-29,78.42132568359375,79.2700018323593,77.70563703421264,78.44792613497704,216229200,0,76.81343841552734,76.60066604614258,2.0932369403494633
2020-01-30,78.30767822265625,78.36087174184341,77.06972800749904,77.50252948730524,126743200,0,78.42132568359375,76.9036247253418,-0.14491907647166125
2020-01-31,74.83563232421875,78.01996875174504,74.54065135459915,77.5968407350888,199588400,0,78.30767822265625,76.76508178710938,-4.433851158969693
2020-02-03,74.6301040649414,75.79793402750128,73.07299252901737,73.57590710330668,173788400,1,74.83563232421875,76.52160339355468,-0.274639570608437
2020-02-04,77.09390258789062,77.28491667175436,75.83177225101083,76.23797325215806,136616400,1,74.6301040649414,76.57673110961915,3.301346760558288
2020-02-05,77.72256469726562,78.5228804217208,77.11809618158854,78.22305902038404,118826800,1,77.09390258789062,76.66740188598632,0.8154498452822567
2020-02-06,78.63166046142578,78.63408069608217,77.4348175300206,77.99334570709586,105425600,0,77.72256469726562,76.81198806762696,1.1696677376784148
2020-02-07,77.56285858154297,78.37961468469555,77.07086561575886,78.12998293153962,117684000,1,78.63166046142578,76.87193984985352,-1.3592513163411257
2020-02-10,77.93125915527344,77.93125915527344,76.06508191592617,76.14505787629706,109348800,0,77.56285858154297,77.19504241943359,0.4749703407890271
2020-02-11,77.46104431152344,78.50077572551376,77.24292075377855,78.42807033835727,94323200,1,77.93125915527344,77.2598030090332,-0.6033712900918586
2020-02-12,79.30057525634766,79.30541981693399,77.91184313382713,77.91184313382713,113730400,0,77.46104431152344,77.3477279663086,2.374782009685039
2020-02-13,78.73589324951172,79.06308239609403,78.36750683488538,78.57108938477977,94747600,1,79.30057525634766,77.39054946899414,-0.7120780713261388
2020-02-14,78.75526428222656,79.0048959887249,78.24630435157947,78.70436311176876,80113600,0,78.73589324951172,77.78251266479492,0.024602543916607544
2020-02-18,77.31322479248047,77.49499569716498,76.24925554684746,76.43102645153198,152531200,1,78.75526428222656,78.05082473754882,-1.831038855483258
2020-02-19,78.43293762207031,78.6631837418977,77.55559118024817,77.55559118024817,93984000,0,77.31322479248047,78.18472824096679,1.4482811092090708
2020-02-20,77.62828826904297,78.68256095291854,77.12175425598554,78.19299399872004,100566000,0,78.43293762207031,78.17530059814453,-1.0259074534534895
2020-02-21,75.87115478515625,77.6646332059399,75.25313681331546,77.22110816106802,129554000,0,77.62828826904297,77.89925003051758,-2.263522129712392
2020-02-24,72.26726531982422,73.7214326099496,70.09813688315359,72.04429714392029,222195200,0,75.87115478515625,77.3696907043457,-4.7500126702132555
2020-02-25,69.81941223144531,73.3215345796045,69.34681232251152,72.93860713253768,230673600,1,72.26726531982422,76.55850601196289,-3.387222523981981
2020-02-26,70.92699432373047,72.1945458948115,69.43647462004233,69.44374515923005,198054800,0,69.81941223144531,75.9051010131836,1.586352644467448
2020-02-27,66.2906265258789,69.31529668003056,66.15490485834736,68.12772839099156,320605600,0,70.92699432373047,74.60410614013672,-6.536816965188031
2020-02-28,66.25186920166016,67.47579797874893,62.13415384073174,62.34985890817242,426510000,1,66.2906265258789,73.35570373535157,-0.05846576846519902
2020-03-02,72.41992950439453,73.05734046709884,67.30853410090411,68.41370027483313,341397200,0,66.25186920166016,72.72217025756837,9.310017026025008
2020-03-03,70.11994171142578,73.6778022281249,69.26682558358837,73.59782628927844,319475600,1,72.41992950439453,72.00284194946289,-3.175904490253867
2020-03-04,73.37242889404297,73.53238817702517,71.04334126232827,71.84555625982283,219178400,0,70.11994171142578,71.49679107666016,4.638462473346872
2020-03-05,70.99246215820312,72.59931106799904,70.62649429588396,71.6225955049724,187572800,0,73.37242889404297,70.83320846557618,-3.2436799104425873
