Date,^FTSE,LLOY.L,BARC.L,AV.L,PSN.L,LAND.L
2023-03-03,7947.10009765625,51.710269927978516,171.34214782714844,446.32684326171875,1281.7548828125,660.4204711914062
2023-03-06,7929.7998046875,51.690303802490234,172.2014617919922,448.1233215332031,1297.733154296875,682.5875244140625
2023-03-07,7919.5,51.27094650268555,168.7842254638672,447.8239440917969,1292.24072265625,668.6082763671875
2023-03-08,7929.89990234375,51.52056121826172,168.74424743652344,449.22119140625,1276.76171875,652.4324340820312
2023-03-09,7880.0,51.38078308105469,163.28863525390625,461.4971618652344,1254.791748046875,635.45751953125
2023-03-10,7748.39990234375,49.69837188720703,157.29345703125,448.82196044921875,1236.31689453125,628.8673095703125
2023-03-13,7548.60009765625,47.15229797363281,147.3614501953125,423.4715576171875,1220.837890625,616.885009765625
2023-03-14,7637.10009765625,48.16075134277344,151.93775939941406,427.76318359375,1227.828369140625,630.0654907226562
2023-03-15,7344.5,45.94416046142578,138.12887573242188,406.2053527832031,1212.8487548828125,617.8836059570312
2023-03-16,7410.0,47.39192581176758,142.2655487060547,414.189697265625,1245.3045654296875,614.8880004882812
2023-03-17,7335.39990234375,46.17879867553711,139.44781494140625,401.4146728515625,1209.353515625,601.30810546875
2023-03-20,7403.89990234375,46.03402328491211,136.25038146972656,410.7963562011719,1209.353515625,611.6927490234375
2023-03-21,7536.2001953125,48.08586120605469,143.02493286132812,422.3736877441406,1230.3248291015625,612.491455078125
2023-03-22,7566.7998046875,47.69146728515625,142.54531860351562,419.8785705566406,1227.3289794921875,589.525634765625
2023-03-23,7499.60009765625,46.77787780761719,139.6676483154297,415.187744140625,1217.842041015625,582.9354248046875
2023-03-24,7405.5,45.644622802734375,133.79237365722656,407.5027770996094,1198.36865234375,572.9501342773438
2023-03-27,7471.7998046875,46.24869155883789,136.88987731933594,411.89422607421875,1207.8555908203125,574.9472045898438
2023-03-28,7484.2998046875,46.32857131958008,137.06971740722656,412.89227294921875,1199.3671875,576.34521484375
2023-03-29,7564.2998046875,47.052452087402344,141.9058380126953,419.2797546386719,1234.8187255859375,595.7164306640625
2023-03-30,7620.39990234375,47.696468353271484,144.70359802246094,404.90777587890625,1268.2733154296875,622.4768676757812
2023-03-31,7631.7001953125,47.60160446166992,145.68280029296875,403.60968017578125,1254.292236328125,620.280029296875
2023-04-03,7673.0,48.16075134277344,148.14080810546875,404.00909423828125,1254.292236328125,629.8657836914062
2023-04-04,7634.5,48.03094482421875,146.38223266601562,407.50396728515625,1237.8148193359375,628.2681274414062
2023-04-05,7662.89990234375,48.355445861816406,147.60125732421875,408.40264892578125,1202.3629150390625,616.0862426757812
2023-04-06,7741.60009765625,48.94453811645508,151.49810791015625,416.4908447265625,1231.32373046875,637.2548217773438
2023-04-11,7785.7001953125,49.35390090942383,152.41737365722656,419.5863342285156,1264.27880859375,638.0536499023438
2023-04-12,7824.7998046875,49.8032112121582,152.9369659423828,422.0826721191406,1274.7645263671875,641.0491943359375
2023-04-13,7843.39990234375,48.44587707519531,152.8170623779297,424.4791564941406,1231.4031982421875,637.8539428710938
2023-04-14,7871.89990234375,48.87535095214844,157.7530975341797,421.0841369628906,1272.8662109375,646.4412841796875
2023-04-17,7879.5,48.39093780517578,154.15599060058594,416.7904357910156,1276.8626708984375,650.0358276367188
2023-04-18,7909.39990234375,48.76548385620117,154.83544921875,418.3880615234375,1285.8546142578125,645.043212890625
2023-04-19,7898.7998046875,49.1949577331543,155.2750701904297,422.5819091796875,1271.8670654296875,636.4560546875
2023-04-20,7902.60009765625,48.94526290893555,154.33584594726562,425.1781311035156,1247.888427734375,636.25634765625
2023-04-21,7914.10009765625,48.800437927246094,153.11683654785156,419.6861267089844,1253.383544921875,640.8495483398438
2023-04-24,7912.2001953125,48.85037612915039,154.07603454589844,420.9842834472656,1249.8865966796875,643.645263671875
2023-04-25,7891.10009765625,48.17120361328125,151.3382568359375,418.6876220703125,1234.9000244140625,643.0463256835938
2023-04-26,7852.60009765625,48.540748596191406,153.73631286621094,417.9886474609375,1295.34619140625,651.6334838867188
2023-04-27,7831.60009765625,48.76048278808594,161.9097442626953,419.0870666503906,1281.358642578125,655.0284423828125
2023-04-28,7870.60009765625,48.1412467956543,159.75148010253906,422.3822021484375,1312.83056640625,673.2014770507812
2023-05-02,7773.0,47.62187576293945,154.81546020507812,414.5936279296875,1385.2659912109375,655.427978515625
2023-05-03,7788.39990234375,45.92394256591797,153.13681030273438,416.3909912109375,1370.279296875,656.2266845703125
2023-05-04,7702.60009765625,45.29970932006836,148.120849609375,407.70367431640625,1358.2901611328125,655.8273315429688
2023-05-05,7778.39990234375,45.75415802001953,153.11683654785156,413.9944763183594,1366.282958984375,664.8139038085938
2023-05-09,7764.10009765625,46.07376480102539,153.45655822753906,413.3953552246094,1334.3115234375,643.645263671875
2023-05-10,7741.2998046875,46.11371612548828,153.09683227539062,412.2969970703125,1337.8082275390625,635.6571044921875
2023-05-11,7730.60009765625,45.81907653808594,153.35662841796875,413.79473876953125,1302.8394775390625,625.0729370117188
2023-05-12,7754.60009765625,45.504459381103516,153.77627563476562,412.0972900390625,1336.3096923828125,613.4901123046875
2023-05-15,7777.7001953125,46.21359634399414,154.8953857421875,412.1971130371094,1335.310546875,619.081787109375
2023-05-16,7751.10009765625,45.644290924072266,154.27587890625,409.7007141113281,1340.30615234375,633.6602172851562
2023-05-17,7723.2001953125,46.23856735229492,155.8346405029297,409.8006286621094,1318.32568359375,627.4692993164062
2023-05-18,7742.2998046875,46.453304290771484,157.9329376220703,412.2969970703125,1341.8048095703125,619.6807861328125
2023-05-19,7756.89990234375,46.663047790527344,159.29185485839844,412.8960876464844,1305.8369140625,627.2696533203125
2023-05-22,7771.0,46.88277816772461,159.95132446289062,417.8887634277344,1306.8359375,630.4649047851562
2023-05-23,7763.0,47.531986236572266,163.30862426757812,423.1810607910156,1284.85546875,635.2578735351562
2023-05-24,7627.10009765625,46.70798873901367,158.532470703125,398.3173828125,1213.9188232421875,623.075927734375
2023-05-25,7570.89990234375,45.774131774902344,156.85382080078125,399.5156555175781,1218.4146728515625,613.4901123046875
2023-05-26,7627.2001953125,45.449527740478516,157.1935577392578,400.7138671875,1224.908935546875,598.1129760742188
2023-05-30,7522.10009765625,45.159881591796875,155.67477416992188,404.50836181640625,1214.4183349609375,604.50341796875
2023-05-31,7446.10009765625,44.116153717041016,151.21835327148438,393.624267578125,1200.4305419921875,601.1085815429688
2023-06-01,7490.2998046875,44.61055374145508,152.497314453125,398.01788330078125,1221.4119873046875,606.3007202148438
2023-06-02,7607.2998046875,45.38959884643555,156.63400268554688,408.5025329589844,1251.3853759765625,624.673583984375
2023-06-05,7600.0,44.675472259521484,155.65478515625,404.8078918457031,1246.3897705078125,622.8761596679688
